accession,title,disease,source,technology,tissue,species,has_control,has_clinical_info,has_processed_matrix,sample_size,score,first_seen,last_seen,url,notes
SRR37421811,SRR37421811,SLE / Lupus nephritis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-07-15,2026-07-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR37421811,auto-collected from public metadata; sample_size from BioSample accessions
SRR37421812,SRR37421812,SLE / Lupus nephritis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-07-15,2026-07-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR37421812,auto-collected from public metadata; sample_size from BioSample accessions
SRR37421813,SRR37421813,SLE / Lupus nephritis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-07-15,2026-07-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR37421813,auto-collected from public metadata; sample_size from BioSample accessions
SRR37421814,SRR37421814,SLE / Lupus nephritis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-07-15,2026-07-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR37421814,auto-collected from public metadata; sample_size from BioSample accessions
SRR37421815,SRR37421815,SLE / Lupus nephritis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-07-15,2026-07-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR37421815,auto-collected from public metadata; sample_size from BioSample accessions
SRR37421816,SRR37421816,SLE / Lupus nephritis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-07-15,2026-07-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR37421816,auto-collected from public metadata; sample_size from BioSample accessions
SRR37421817,SRR37421817,SLE / Lupus nephritis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-07-15,2026-07-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR37421817,auto-collected from public metadata; sample_size from BioSample accessions
SRR37421818,SRR37421818,SLE / Lupus nephritis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-07-15,2026-07-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR37421818,auto-collected from public metadata; sample_size from BioSample accessions
SRR37421819,SRR37421819,SLE / Lupus nephritis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-07-15,2026-07-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR37421819,auto-collected from public metadata; sample_size from BioSample accessions
SRR37421820,SRR37421820,SLE / Lupus nephritis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-07-15,2026-07-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR37421820,auto-collected from public metadata; sample_size from BioSample accessions
SRR37421821,SRR37421821,SLE / Lupus nephritis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-07-15,2026-07-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR37421821,auto-collected from public metadata; sample_size from BioSample accessions
SRR37421822,SRR37421822,SLE / Lupus nephritis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-07-15,2026-07-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR37421822,auto-collected from public metadata; sample_size from BioSample accessions
SRR37421823,SRR37421823,SLE / Lupus nephritis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-07-15,2026-07-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR37421823,auto-collected from public metadata; sample_size from BioSample accessions
SRR37421824,SRR37421824,SLE / Lupus nephritis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-07-15,2026-07-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR37421824,auto-collected from public metadata; sample_size from BioSample accessions
SRR37421825,SRR37421825,SLE / Lupus nephritis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-07-15,2026-07-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR37421825,auto-collected from public metadata; sample_size from BioSample accessions
SRR39044409,SRR39044409,SLE / Lupus nephritis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-06-12,2026-06-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39044409,auto-collected from public metadata; sample_size from BioSample accessions
SRR39044410,SRR39044410,SLE / Lupus nephritis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-06-12,2026-06-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39044410,auto-collected from public metadata; sample_size from BioSample accessions
SRR39044411,SRR39044411,SLE / Lupus nephritis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-06-12,2026-06-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39044411,auto-collected from public metadata; sample_size from BioSample accessions
SRR39044412,SRR39044412,SLE / Lupus nephritis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-06-12,2026-06-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39044412,auto-collected from public metadata; sample_size from BioSample accessions
SRR39044413,SRR39044413,Myositis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-06-11,2026-06-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39044413,auto-collected from public metadata; sample_size from BioSample accessions
SRR39044414,SRR39044414,Myositis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-06-11,2026-06-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39044414,auto-collected from public metadata; sample_size from BioSample accessions
SRR39044415,SRR39044415,Myositis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-06-12,2026-06-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39044415,auto-collected from public metadata; sample_size from BioSample accessions
SRR39044416,SRR39044416,Myositis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-06-11,2026-06-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39044416,auto-collected from public metadata; sample_size from BioSample accessions
